"Context","Comparison","R2","F_value","raw_p","Sig_raw","p_Bonferroni","Sig_Bonf","p_BH","Sig_BH"
"SELVA-Fall","Glass vs PE",0.2756,1.522,0.2," ",1," ",0.2857," "
"SELVA-Fall","Glass vs PET",0.4499,3.272,0.1,".",1," ",0.2857," "
"SELVA-Fall","Glass vs Weathered_PE",0.6923,9,0.1,".",1," ",0.2857," "
"SELVA-Fall","Glass vs Weathered_PET",0.4283,2.997,0.2," ",1," ",0.2857," "
"SELVA-Fall","PE vs PET",0.1675,0.805,0.4," ",1," ",0.5," "
"SELVA-Fall","PE vs Weathered_PE",0.5128,4.21,0.2," ",1," ",0.2857," "
"SELVA-Fall","PE vs Weathered_PET",0.0357,0.148,1," ",1," ",1," "
"SELVA-Fall","PET vs Weathered_PE",0.4665,3.498,0.2," ",1," ",0.2857," "
"SELVA-Fall","PET vs Weathered_PET",0.1618,0.772,0.8," ",1," ",0.8889," "
"SELVA-Fall","Weathered_PE vs Weathered_PET",0.5645,5.185,0.1,".",1," ",0.2857," "
"TBS-Fall","Glass vs PE",0.1771,0.861,0.6," ",1," ",1," "
"TBS-Fall","Glass vs PET",0.2098,1.062,0.5," ",1," ",1," "
"TBS-Fall","Glass vs Weathered_PE",0.064,0.274,0.9," ",1," ",1," "
"TBS-Fall","Glass vs Weathered_PET",0.0638,0.273,1," ",1," ",1," "
"TBS-Fall","PE vs PET",0.157,0.745,0.6," ",1," ",1," "
"TBS-Fall","PE vs Weathered_PE",0.063,0.269,1," ",1," ",1," "
"TBS-Fall","PE vs Weathered_PET",0.2418,1.276,0.3," ",1," ",1," "
"TBS-Fall","PET vs Weathered_PE",0.0369,0.153,1," ",1," ",1," "
"TBS-Fall","PET vs Weathered_PET",0.5071,4.115,0.1,".",1," ",1," "
"TBS-Fall","Weathered_PE vs Weathered_PET",0.1295,0.595,0.7," ",1," ",1," "
"SELVA-Winter2","Glass vs PE",0.0334,0.138,0.8," ",1," ",0.9," "
"SELVA-Winter2","Glass vs PET",0.0413,0.172,0.9," ",1," ",0.9," "
"SELVA-Winter2","Glass vs Weathered_PE",0.0856,0.281,0.9," ",1," ",0.9," "
"SELVA-Winter2","Glass vs Weathered_PET",0.0829,0.362,0.9," ",1," ",0.9," "
"SELVA-Winter2","PE vs PET",0.039,0.162,0.9," ",1," ",0.9," "
"SELVA-Winter2","PE vs Weathered_PE",0.1793,0.655,0.7," ",1," ",0.9," "
"SELVA-Winter2","PE vs Weathered_PET",0.1352,0.625,0.7," ",1," ",0.9," "
"SELVA-Winter2","PET vs Weathered_PE",0.2149,0.821,0.5," ",1," ",0.9," "
"SELVA-Winter2","PET vs Weathered_PET",0.1306,0.601,0.9," ",1," ",0.9," "
"SELVA-Winter2","Weathered_PE vs Weathered_PET",0.1932,0.718,0.6," ",1," ",0.9," "
"TBS-Winter2","Glass vs PE",0.0726,0.235,1," ",1," ",1," "
"TBS-Winter2","Glass vs PET",0.0422,0.176,1," ",1," ",1," "
"TBS-Winter2","Glass vs Weathered_PE",0.058,0.247,0.9," ",1," ",1," "
"TBS-Winter2","Glass vs Weathered_PET",0.4296,3.012,0.1,".",1," ",0.3333," "
"TBS-Winter2","PE vs PET",0.0721,0.233,1," ",1," ",1," "
"TBS-Winter2","PE vs Weathered_PE",0.0246,0.076,1," ",1," ",1," "
"TBS-Winter2","PE vs Weathered_PET",0.5308,3.393,0.1,".",1," ",0.3333," "
"TBS-Winter2","PET vs Weathered_PE",0.0453,0.19,1," ",1," ",1," "
"TBS-Winter2","PET vs Weathered_PET",0.4202,2.899,0.1,".",1," ",0.3333," "
"TBS-Winter2","Weathered_PE vs Weathered_PET",0.3744,2.394,0.2," ",1," ",0.5," "
