"site","OTU_Label","display_label","Class","n_higher_substrates","n_lower_substrates","higher_substrates","lower_substrates","response"
"SELVA","Leathesia_ASV_8462","Leathesia_difformis","Phaeophyceae",3,1,"PE, PET, wPET","wPE","Multi-plastic higher (3)"
"SELVA","OTU_ASV_22251","OTU_ASV_22251",NA,3,0,"PET, wPE, wPET","","Multi-plastic higher (3)"
"SELVA","Mytilus_ASV_18471","Mytilus_trossulus","Mollusca",2,0,"PE, PET","","Multi-plastic higher (2)"
"SELVA","Placidae_X_ASV_29901","Placidae_X_sp.","Prostomatea_2",2,0,"PE, PET","","Multi-plastic higher (2)"
"SELVA","OTU_ASV_33058","OTU_ASV_33058",NA,2,0,"PE, PET","","Multi-plastic higher (2)"
"SELVA","Annelida_XX_ASV_18258","Annelida_XX_ASV_18258","Annelida",1,0,"wPET","","Single-plastic higher"
"SELVA","Bacillariaceae_ASV_10164","Bacillariaceae_ASV_10164","Bacillariophyceae",1,1,"PET","wPE","Mixed"
"SELVA","Bacillariophyceae_ASV_6651","Bacillariophyceae_ASV_6651","Bacillariophyceae",1,0,"wPE","","Single-plastic higher"
"SELVA","Enoplea_X_ASV_18404","Enoplea_X_ASV_18404","Nematoda",1,0,"wPE","","Single-plastic higher"
"SELVA","Zoothamnium_1_ASV_32734","Zoothamnium_1 sp. Zoothamnium_1_ASV_32734","Oligohymenophorea",1,0,"PE","","Single-plastic higher"
"SELVA","Heribaudiella_ASV_10928","Heribaudiella_fluviatilis","Phaeophyceae",1,0,"wPET","","Single-plastic higher"
"SELVA","Phaeophyceae_XX_ASV_8499","Phaeophyceae_XX_ASV_8499","Phaeophyceae",1,0,"wPE","","Single-plastic higher"
"SELVA","Ephelota_ASV_661","Ephelota sp. Ephelota_ASV_661","Phyllopharyngea",1,0,"wPET","","Single-plastic higher"
"SELVA","Ephelota_ASV_2990","Ephelota_truncata","Phyllopharyngea",1,0,"PET","","Single-plastic higher"
"SELVA","Suctoria_XX_ASV_12412","Suctoria_XX_sp.","Phyllopharyngea",1,0,"PET","","Single-plastic higher"
"SELVA","Adineta_ASV_17598","Adineta_vaga","Rotifera",1,0,"wPE","","Single-plastic higher"
"SELVA","Spirotrichea_ASV_29935","Spirotrichea_ASV_29935","Spirotrichea",1,0,"wPET","","Single-plastic higher"
"SELVA","Dino-Group-I-Clade-1_X_ASV_20870","Dino-Group-I-Clade-1_X_sp.","Syndiniales",1,0,"wPET","","Single-plastic higher"
"SELVA","OTU_ASV_16598","OTU_ASV_16598",NA,1,0,"PET","","Single-plastic higher"
"SELVA","OTU_ASV_5396","OTU_ASV_5396",NA,1,0,"wPET","","Single-plastic higher"
"SELVA","Navicula_ASV_10078","Navicula sp. Navicula_ASV_10078","Bacillariophyceae",0,1,"","wPE","Plastic lower"
"SELVA","Navicula_ASV_10098","Navicula_tripunctata","Bacillariophyceae",0,1,"","wPE","Plastic lower"
"SELVA","Scytosiphon_ASV_8447","Scytosiphon_lomentaria","Phaeophyceae",0,1,"","wPE","Plastic lower"
